央视频道,#genre#
CCTV1,http://182.92.109.190:1668/72/72.php?id=cctv1
CCTV1,http://z.b.bkpcp.top/m.php?id=cctv1
CCTV1,http://gat.bkpcp.top/ymg.php?id=cctv1
CCTV1,http://nn.7x9d.cn/%E7%BB%84%E6%92%AD/%E5%92%AA%E5%92%95%E8%A7%86%E9%A2%91.php?id=cctv1
CCTV1,http://8.138.90.107/%E5%85%AC%E4%BC%97%E5%8F%B7%E3%80%90%E7%9D%A1%E7%9C%BC%E8%BF%B7%E7%A6%BB%E7%9A%84%E7%8C%AB%E3%80%91/migu.php?id=cctv1
CCTV2,http://182.92.109.190:1668/72/72.php?id=cctv2
CCTV2,http://gat.bkpcp.top/ymg.php?id=cctv2
CCTV2,http://z.b.bkpcp.top/m.php?id=cctv2
CCTV2,http://nn.7x9d.cn/小曾8563/酒店秒开.php?id=cctv2
CCTV2,http://47.109.155.164/jd/山西.php?id=cctv2
CCTV2,http://8.138.90.107/%E5%85%AC%E4%BC%97%E5%8F%B7%E3%80%90%E7%9D%A1%E7%9C%BC%E8%BF%B7%E7%A6%BB%E7%9A%84%E7%8C%AB%E3%80%91/migu.php?id=cctv2
CCTV3,http://182.92.109.190:1668/72/72.php?id=cctv3
CCTV3,http://gat.bkpcp.top/ymg.php?id=cctv3
CCTV3,http://z.b.bkpcp.top/m.php?id=cctv3
CCTV3,http://nn.7x9d.cn/小曾8563/酒店秒开.php?id=cctv3
CCTV3,http://47.109.155.164/jd/山西.php?id=cctv3
CCTV3,http://8.138.90.107/%E5%85%AC%E4%BC%97%E5%8F%B7%E3%80%90%E7%9D%A1%E7%9C%BC%E8%BF%B7%E7%A6%BB%E7%9A%84%E7%8C%AB%E3%80%91/migu.php?id=cctv3
CCTV4,http://182.92.109.190:1668/72/72.php?id=cctv4
CCTV4,http://gat.bkpcp.top/ymg.php?id=cctv4
CCTV4,http://z.b.bkpcp.top/m.php?id=cctv4
CCTV4,http://nn.7x9d.cn/小曾8563/酒店秒开.php?id=cctv4
CCTV4,http://47.109.155.164/jd/山西.php?id=cctv4
CCTV4,http://8.138.90.107/%E5%85%AC%E4%BC%97%E5%8F%B7%E3%80%90%E7%9D%A1%E7%9C%BC%E8%BF%B7%E7%A6%BB%E7%9A%84%E7%8C%AB%E3%80%91/migu.php?id=cctv4
CCTV5,http://182.92.109.190:1668/72/72.php?id=cctv5
CCTV5,http://gat.bkpcp.top/ymg.php?id=cctv5
CCTV5,http://z.b.bkpcp.top/m.php?id=cctv5
CCTV5,http://z.b.bkpcp.top/m.php?id=cctv5+
CCTV5,http://nn.7x9d.cn/小曾8563/酒店秒开.php?id=cctv5
CCTV5,http://47.109.155.164/jd/山西.php?id=cctv5
CCTV5,http://8.138.90.107/%E5%85%AC%E4%BC%97%E5%8F%B7%E3%80%90%E7%9D%A1%E7%9C%BC%E8%BF%B7%E7%A6%BB%E7%9A%84%E7%8C%AB%E3%80%91/migu.php?id=cctv5
CCTV5+,http://182.92.109.190:1668/72/72.php?id=cctv5p
CCTV5+,http://gat.bkpcp.top/ymg.php?id=cctv5p
CCTV5+,http://z.b.bkpcp.top/m.php?id=cctv5p
CCTV5+,http://nn.7x9d.cn/小曾8563/酒店秒开.php?id=cctv5p
CCTV5+,http://47.109.155.164/jd/山西.php?id=cctv5pCCTV5+,http://8.138.90.107/%E5%85%AC%E4%BC%97%E5%8F%B7%E3%80%90%E7%9D%A1%E7%9C%BC%E8%BF%B7%E7%A6%BB%E7%9A%84%E7%8C%AB%E3%80%91/migu.php?id=cctv5p
CCTV6,http://182.92.109.190:1668/72/72.php?id=cctv6
CCTV6,http://gat.bkpcp.top/ymg.php?id=cctv6
CCTV6,http://z.b.bkpcp.top/m.php?id=cctv6
CCTV6,http://nn.7x9d.cn/小曾8563/酒店秒开.php?id=cctv6
CCTV6,http://47.109.155.164/jd/山西.php?id=cctv6
CCTV6,http://8.138.90.107/%E5%85%AC%E4%BC%97%E5%8F%B7%E3%80%90%E7%9D%A1%E7%9C%BC%E8%BF%B7%E7%A6%BB%E7%9A%84%E7%8C%AB%E3%80%91/migu.php?id=cctv6
CCTV7,http://182.92.109.190:1668/72/72.php?id=cctv7
CCTV7,http://gat.bkpcp.top/ymg.php?id=cctv7
CCTV7,http://z.b.bkpcp.top/m.php?id=cctv7
CCTV7,http://nn.7x9d.cn/小曾8563/酒店秒开.php?id=cctv7
CCTV7,http://47.109.155.164/jd/山西.php?id=cctv7
CCTV7,http://8.138.90.107/%E5%85%AC%E4%BC%97%E5%8F%B7%E3%80%90%E7%9D%A1%E7%9C%BC%E8%BF%B7%E7%A6%BB%E7%9A%84%E7%8C%AB%E3%80%91/migu.php?id=cctv7
CCTV8,http://182.92.109.190:1668/72/72.php?id=cctv8
